Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
0.533333,1,1,,
0.55,2,1,,
0.566667,3,1,,
0.583333,4,1,,
0.6,5,1,,
0.616667,6,1,,
0.633333,7,1,,
0.65,8,1,,
0.666667,9,1,,
0.683333,10,1,,
0.7,11,1,,
0.716667,12,1,,
0.733333,13,1,,
0.75,14,1,,
0.766667,15,1,,
0.783333,16,1,,
0.8,17,1,,
0.816667,18,1,,
0.833333,19,1,,
0.85,20,1,,
0.866667,21,1,,
0.883333,22,1,,
0.9,23,1,,
0.916667,24,1,,
0.933333,25,1,,
0.95,26,1,,
0.966667,27,1,,
0.983333,28,1,,
1,29,1,,
1.01667,30,1,,
1.03333,31,1,,
1.05,32,1,,
1.06667,33,1,,
1.08333,34,1,,
1.1,35,1,,
1.11667,36,1,,
1.13333,37,1,,
1.15,38,1,,
1.16667,39,1,,
1.18333,40,1,,
1.2,41,1,,
1.21667,42,1,,
1.23333,43,1,,
1.25,44,1,,
1.26667,45,1,,
1.28333,46,1,,
1.3,47,1,,
1.31667,48,1,,
1.33333,49,1,,
1.35,50,1,,
1.36667,51,1,,
1.38333,52,1,,
1.4,53,1,,
1.41667,54,1,,
1.43333,55,1,,
1.45,56,1,,
1.46667,57,1,,
1.48333,58,1,,
1.5,59,1,,
1.51667,60,1,,
1.53333,61,1,,
1.55,62,1,,
1.56667,63,1,,
1.58333,64,1,,
1.6,65,1,,
1.61667,66,1,,
1.63333,67,1,,
1.65,68,1,,
1.66667,69,1,,
1.68333,70,1,,
1.7,71,1,,
1.71667,72,1,,
1.73333,73,1,,
1.75,74,1,,
1.76667,75,1,,
1.78333,76,1,,
1.8,77,1,,
1.81667,78,1,,
1.83333,79,1,,
1.85,80,1,,
1.86667,81,1,,
1.88333,82,1,,
1.9,83,1,,
1.91667,84,1,,
1.93333,85,1,,
1.95,86,1,,
1.96667,87,1,,
1.98333,88,1,,
2,89,1,,
2.01667,90,1,,
2.03333,91,1,,
2.05,92,1,,
2.06667,93,1,,
2.08333,94,1,,
2.1,95,1,,
2.11667,96,1,,
2.13333,97,1,,
2.15,98,1,,
2.16667,99,1,,
2.18333,100,1,,
2.2,101,1,,
2.21667,102,1,,
2.23333,103,1,,
2.25,104,1,,
2.26667,105,1,,
2.28333,106,1,,
2.3,107,1,,
2.31667,108,1,,
2.33333,109,1,,
2.35,110,1,,
2.36667,111,1,,
2.38333,112,1,,
2.4,113,1,,
2.41667,114,1,,
2.43333,115,1,,
2.45,116,1,,
2.46667,117,1,,
2.48333,118,1,,
2.5,119,1,,
2.51667,120,1,,
2.53333,121,1,,
2.55,122,1,,
2.56667,123,1,,
2.58333,124,1,,
2.6,125,1,,
2.61667,126,1,,
2.63333,127,1,,
2.65,128,1,,
2.66667,129,1,,
2.68333,130,1,,
2.7,131,1,,
2.71667,132,1,,
2.73333,133,1,,
2.75,134,1,,
2.76667,135,1,,
2.78333,136,1,,
2.8,137,1,,
2.81667,138,1,,
2.83333,139,1,,
2.85,140,1,,
2.86667,141,1,,
2.88333,142,1,,
2.9,143,1,,
2.91667,144,1,,
2.93333,145,1,,
2.95,146,1,,
