Time,Step_number,Number_of_Traffic_Ctrl_true,Traffic_Ctrl_Id,Traffic_Ctrl_Phase_true
0.566667,1,1,,
0.583333,2,1,,
0.6,3,1,,
0.616667,4,1,,
0.633333,5,1,,
0.65,6,1,,
0.666667,7,1,,
0.683333,8,1,,
0.7,9,1,,
0.716667,10,1,,
0.733333,11,1,,
0.75,12,1,,
0.766667,13,1,,
0.783333,14,1,,
0.8,15,1,,
0.816667,16,1,,
0.833333,17,1,,
0.85,18,1,,
0.866667,19,1,,
0.883333,20,1,,
0.9,21,1,,
0.916667,22,1,,
0.933333,23,1,,
0.95,24,1,,
0.966667,25,1,,
0.983333,26,1,,
1,27,1,,
1.01667,28,1,,
1.03333,29,1,,
1.05,30,1,,
1.06667,31,1,,
1.08333,32,1,,
1.1,33,1,,
1.11667,34,1,,
1.13333,35,1,,
1.15,36,1,,
1.16667,37,1,,
1.18333,38,1,,
1.2,39,1,,
1.21667,40,1,,
1.23333,41,1,,
1.25,42,1,,
1.26667,43,1,,
1.28333,44,1,,
1.3,45,1,,
1.31667,46,1,,
1.33333,47,1,,
1.35,48,1,,
1.36667,49,1,,
1.38333,50,1,,
1.4,51,1,,
1.41667,52,1,,
1.43333,53,1,,
1.45,54,1,,
1.46667,55,1,,
1.48333,56,1,,
1.5,57,1,,
1.51667,58,1,,
1.53333,59,1,,
1.55,60,1,,
1.56667,61,1,,
1.58333,62,1,,
1.6,63,1,,
1.61667,64,1,,
1.63333,65,1,,
1.65,66,1,,
1.66667,67,1,,
1.68333,68,1,,
1.7,69,1,,
1.71667,70,1,,
1.73333,71,1,,
1.75,72,1,,
1.76667,73,1,,
1.78333,74,1,,
1.8,75,1,,
1.81667,76,1,,
1.83333,77,1,,
1.85,78,1,,
1.86667,79,1,,
1.88333,80,1,,
1.9,81,1,,
1.91667,82,1,,
1.93333,83,1,,
1.95,84,1,,
1.96667,85,1,,
1.98333,86,1,,
2,87,1,,
2.01667,88,1,,
2.03333,89,1,,
2.05,90,1,,
2.06667,91,1,,
2.08333,92,1,,
2.1,93,1,,
2.11667,94,1,,
2.13333,95,1,,
2.15,96,1,,
2.16667,97,1,,
2.18333,98,1,,
2.2,99,1,,
2.21667,100,1,,
2.23333,101,1,,
2.25,102,1,,
2.26667,103,1,,
2.28333,104,1,,
2.3,105,1,,
2.31667,106,1,,
2.33333,107,1,,
2.35,108,1,,
2.36667,109,1,,
2.38333,110,1,,
2.4,111,1,,
2.41667,112,1,,
2.43333,113,1,,
2.45,114,1,,
2.46667,115,1,,
2.48333,116,1,,
2.5,117,1,,
2.51667,118,1,,
2.53333,119,1,,
2.55,120,1,,
2.56667,121,1,,
2.58333,122,1,,
2.6,123,1,,
2.61667,124,1,,
2.63333,125,1,,
2.65,126,1,,
2.66667,127,1,,
2.68333,128,1,,
2.7,129,1,,
2.71667,130,1,,
2.73333,131,1,,
2.75,132,1,,
2.76667,133,1,,
2.78333,134,1,,
2.8,135,1,,
2.81667,136,1,,
2.83333,137,1,,
2.85,138,1,,
2.86667,139,1,,
2.88333,140,1,,
2.9,141,1,,
2.91667,142,1,,
2.93333,143,1,,
2.95,144,1,,
2.96667,145,1,,
2.98333,146,1,,
3,147,1,,
3.01667,148,1,,
3.03333,149,1,,
3.05,150,1,,
3.06667,151,1,,
3.08333,152,1,,
3.1,153,1,,
3.11667,154,1,,
3.13333,155,1,,
3.15,156,1,,
3.16667,157,1,,
3.18333,158,1,,
3.2,159,1,,
3.21667,160,1,,
3.23333,161,1,,
3.25,162,1,,
3.26667,163,1,,
3.28333,164,1,,
3.3,165,1,,
3.31667,166,1,,
3.33333,167,1,,
3.35,168,1,,
3.36667,169,1,,
3.38333,170,1,,
3.4,171,1,,
3.41667,172,1,,
3.43333,173,1,,
3.45,174,1,,
3.46667,175,1,,
3.48333,176,1,,
3.5,177,1,,
3.51667,178,1,,
3.53333,179,1,,
3.55,180,1,,
3.56667,181,1,,
3.58333,182,1,,
3.6,183,1,,
3.61667,184,1,,
3.63333,185,1,,
3.65,186,1,,
3.66667,187,1,,
3.68333,188,1,,
3.7,189,1,,
3.71667,190,1,,
3.73333,191,1,,
3.75,192,1,,
3.76667,193,1,,
3.78333,194,1,,
3.8,195,1,,
3.81667,196,1,,
3.83333,197,1,,
3.85,198,1,,
3.86667,199,1,,
3.88333,200,1,,
3.9,201,1,,
3.91667,202,1,,
3.93333,203,1,,
3.95,204,1,,
3.96667,205,1,,
3.98333,206,1,,
4,207,1,,
4.01667,208,1,,
4.03333,209,1,,
4.05,210,1,,
4.06667,211,1,,
4.08333,212,1,,
4.1,213,1,,
4.11667,214,1,,
4.13333,215,1,,
4.15,216,1,,
4.16667,217,1,,
4.18333,218,1,,
4.2,219,1,,
4.21667,220,1,,
4.23333,221,1,,
4.25,222,1,,
4.26667,223,1,,
4.28333,224,1,,
4.3,225,1,,
4.31667,226,1,,
4.33333,227,1,,
4.35,228,1,,
4.36667,229,1,,
4.38333,230,1,,
4.4,231,1,,
4.41667,232,1,,
4.43333,233,1,,
4.45,234,1,,
4.46667,235,1,,
4.48333,236,1,,
4.5,237,1,,
4.51667,238,1,,
4.53333,239,1,,
4.55,240,1,,
4.56667,241,1,,
4.58333,242,1,,
4.6,243,1,,
4.61667,244,1,,
4.63333,245,1,,
4.65,246,1,,
4.66667,247,1,,
4.68333,248,1,,
4.7,249,1,,
4.71667,250,1,,
4.73333,251,1,,
4.75,252,1,,
4.76667,253,1,,
4.78333,254,1,,
4.8,255,1,,
4.81667,256,1,,
4.83333,257,1,,
4.85,258,1,,
4.86667,259,1,,
4.88333,260,1,,
4.9,261,1,,
4.91667,262,1,,
4.93333,263,1,,
4.95,264,1,,
4.96667,265,1,,
4.98333,266,1,,
5,267,1,,
5.01667,268,1,,
5.03333,269,1,,
5.05,270,1,,
5.06667,271,1,,
5.08333,272,1,,
5.1,273,1,,
5.11667,274,1,,
5.13333,275,1,,
5.15,276,1,,
5.16667,277,1,,
5.18333,278,1,,
5.2,279,1,,
5.21667,280,1,,
5.23333,281,1,,
5.25,282,1,,
5.26667,283,1,,
5.28333,284,1,,
5.3,285,1,,
5.31667,286,1,,
5.33333,287,1,,
5.35,288,1,,
5.36667,289,1,,
5.38333,290,1,,
5.4,291,1,,
5.41667,292,1,,
5.43333,293,1,,
5.45,294,1,,
5.46667,295,1,,
5.48333,296,1,,
5.5,297,1,,
5.51667,298,1,,
5.53333,299,1,,
5.55,300,1,,
5.56667,301,1,,
5.58333,302,1,,
5.6,303,1,,
5.61667,304,1,,
5.63333,305,1,,
5.65,306,1,,
5.66667,307,1,,
5.68333,308,1,,
5.7,309,1,,
5.71667,310,1,,
5.73333,311,1,,
5.75,312,1,,
5.76667,313,1,,
5.78333,314,1,,
5.8,315,1,,
5.81667,316,1,,
5.83333,317,1,,
5.85,318,1,,
5.86667,319,1,,
5.88333,320,1,,
5.9,321,1,,
5.91667,322,1,,
5.93333,323,1,,
5.95,324,1,,
5.96667,325,1,,
5.98333,326,1,,
6,327,1,,
6.01667,328,1,,
6.03333,329,1,,
6.05,330,1,,
6.06667,331,1,,
6.08333,332,1,,
6.1,333,1,,
6.11667,334,1,,
6.13333,335,1,,
6.15,336,1,,
6.16667,337,1,,
6.18333,338,1,,
6.2,339,1,,
6.21667,340,1,,
6.23333,341,1,,
6.25,342,1,,
6.26667,343,1,,
6.28333,344,1,,
6.3,345,1,,
6.31667,346,1,,
6.33333,347,1,,
6.35,348,1,,
6.36667,349,1,,
6.38333,350,1,,
6.4,351,1,,
6.41667,352,1,,
6.43333,353,1,,
6.45,354,1,,
6.46667,355,1,,
6.48333,356,1,,
6.5,357,1,,
6.51667,358,1,,
6.53333,359,1,,
6.55,360,1,,
6.56667,361,1,,
6.58333,362,1,,
6.6,363,1,,
6.61667,364,1,,
6.63333,365,1,,
6.65,366,1,,
6.66667,367,1,,
6.68333,368,1,,
6.7,369,1,,
6.71667,370,1,,
6.73333,371,1,,
6.75,372,1,,
6.76667,373,1,,
6.78333,374,1,,
6.8,375,1,,
6.81667,376,1,,
6.83333,377,1,,
6.85,378,1,,
6.86667,379,1,,
6.88333,380,1,,
6.9,381,1,,
6.91667,382,1,,
6.93333,383,1,,
6.95,384,1,,
6.96667,385,1,,
6.98333,386,1,,
7,387,1,,
7.01667,388,1,,
7.03333,389,1,,
7.05,390,1,,
7.06667,391,1,,
7.08333,392,1,,
7.1,393,1,,
7.11667,394,1,,
7.13333,395,1,,
7.15,396,1,,
7.16667,397,1,,
7.18333,398,1,,
7.2,399,1,,
7.21667,400,1,,
7.23333,401,1,,
7.25,402,1,,
7.26667,403,1,,
7.28333,404,1,,
7.3,405,1,,
7.31667,406,1,,
7.33333,407,1,,
7.35,408,1,,
7.36667,409,1,,
7.38333,410,1,,
7.4,411,1,,
7.41667,412,1,,
7.43333,413,1,,
7.45,414,1,,
7.46667,415,1,,
