Time,Step_number,VUT_pos_lat,VUT_pos_lng,VUT_heading,VUT_yaw_rate,VUT_jerk_lat,VUT_jerk_lng,VUT_accl_lat,VUT_accl_lng,VUT_vel_lat,VUT_vel_lng,VUT_vel_abs,VUT_travelled,VUT_ind_st_dir_left,VUT_ind_st_dir_right,VUT_ind_st_hazard,VUT_ind_st_reverse,VUT_ind_st_braking,VUT_throttle_cmd_value,VUT_braking_cmd_value,VUT_steering_angle,VUT_steering_angle_percentage,VUT_AV_drive_status,Number_of_Actors_perceived,Number_of_Actors_true,Number_of_Traffic_Ctrl_true
0.566667,1,1.353975888157152,103.6960405044297,-56.34258820113433,,,,-1.94449,1.29472,-1.02091,0.679762,1.2265127821364112,0.326722,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.583333,2,1.3539759921590788,103.69604034897806,-56.34258820113433,0.0,-0.0006000240009639708,0.0006000240009639708,-1.94448,1.29471,-1.05332,0.701341,1.2654494145089326,0.347488,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.6,3,1.353976099778464,103.69604018903358,-56.34258820113433,0.0,-0.0005999880002439263,0.00119997600047453,-1.94446,1.2947,-1.08572,0.722919,1.3043771689818096,0.368903,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.616667,4,1.3539762101109432,103.6960400245963,-56.34258820113433,0.0,-0.0005999880002439263,0.0005999880002439263,-1.94445,1.29469,-1.11813,0.744498,1.3433138013524615,0.390967,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.633333,5,1.3539763240608804,103.69603985386907,-56.34258820113433,0.0,-0.0006000240009506435,0.0012000480019146104,-1.94443,1.29468,-1.15054,0.766076,1.3822498794993616,0.41368,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.65,6,1.353976441628276,103.69603967954757,-56.34258820113433,0.0,-0.0005999880002439263,0.0005999880002439263,-1.94442,1.29467,-1.18295,0.787654,1.4211859576480481,0.437042,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.666667,7,1.3539765619087656,103.69603949983468,-56.34258820113433,0.0,-0.0005999880002439263,0.0011999760004878525,-1.9444,1.29466,-1.21535,0.809232,1.4601137121210799,0.461053,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.683333,8,1.3539766849023487,103.69603931562898,-56.34258820113433,0.0,-0.0006000240009506475,0.0012000480019146184,-1.94438,1.29465,-1.24776,0.830809,1.499049236042966,0.485713,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.7,9,1.353976812417755,103.69603912603189,-56.34258820113433,0.0,-0.0005999880002439263,0.00119997600047453,-1.94436,1.29464,-1.28017,0.852387,1.537985314191589,0.511022,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.716667,10,1.3539769417418897,103.69603893194198,-56.34258820113433,0.0,-0.0011999760004745223,0.0011999760004878445,-1.94434,1.29462,-1.31257,0.873964,1.5769125144395297,0.536979,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.733333,11,1.3539770755878475,103.69603873335925,-56.34258820113433,0.0,-0.0006000240009639708,0.0012000480019146184,-1.94432,1.29461,-1.34498,0.895541,1.6158480383628284,0.563585,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.75,12,1.3539772121468996,103.69603852938512,-56.34258820113433,0.0,-0.0011999760004878525,0.0011999760004878525,-1.9443,1.29459,-1.37738,0.917117,1.6547746843872733,0.590841,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.766667,13,1.3539773523234095,103.69603832091818,-56.34258820113433,0.0,-0.0005999880002306039,0.0017999640007184566,-1.94427,1.29458,-1.40979,0.938694,1.6937102083107372,0.618745,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.783333,14,1.3539774952130132,103.69603810705985,-56.34258820113433,0.0,-0.0012000480019279415,0.0012000480019146184,-1.94425,1.29456,-1.44219,0.96027,1.7326368543350334,0.647297,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.8,15,1.3539776417200753,103.6960378887087,-56.34258820113433,0.0,-0.0011999760004745223,0.0017999640007184444,-1.94422,1.29454,-1.4746,0.981846,1.7715718240353677,0.676499,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.816667,16,1.353977790940231,103.69603766496616,-56.34258820113433,0.0,-0.0011999760004878525,0.0017999640007184566,-1.94419,1.29452,-1.507,1.00342,1.8104973616108917,0.70635,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.833333,17,1.3539779437778454,103.69603743673079,-56.34258820113433,0.0,-0.0012000480019146184,0.001800072002878589,-1.94416,1.2945,-1.5394,1.025,1.849426224535599,0.736849,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.85,18,1.3539781002329179,103.69603720400261,-56.34258820113433,0.0,-0.00119997600047453,0.0017999640007317788,-1.94413,1.29448,-1.5718,1.04657,1.8883495452113732,0.767997,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.866667,19,1.353978259401084,103.6960369667816,-56.34258820113433,0.0,-0.0011999760004878525,0.0017999640007184566,-1.9441,1.29446,-1.60421,1.06815,1.9272867318071796,0.799794,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.883333,20,1.3539784221867082,103.69603672327064,-56.34258820113433,0.0,-0.0012000480019146104,0.002400096003842544,-1.94406,1.29444,-1.63661,1.08972,1.9662100524867632,0.83224,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.9,21,1.3539785876854264,103.69603647616543,-56.34258820113433,0.0,-0.0017999640007184566,0.0017999640007184566,-1.94403,1.29441,-1.66901,1.11129,2.0051333731699743,0.865335,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.916667,22,1.3539787568016028,103.69603622366883,-56.34258820113433,0.0,-0.0011999760004878525,0.00239995200094906,-1.94399,1.29439,-1.70141,1.13287,2.044062236087737,0.899078,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.933333,23,1.3539789295352378,103.6960359666794,-56.34258820113433,0.0,-0.001800072002878589,0.00240009600384256,-1.94395,1.29436,-1.73381,1.15444,2.0829855567670172,0.93347,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.95,24,1.3539791049819665,103.69603570429861,-56.34258820113433,0.0,-0.0017999640007184566,0.002399952000962383,-1.94391,1.29433,-1.76621,1.17601,2.1219088774497363,0.968511,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.966667,25,1.353979284046153,103.69603543742497,-56.34258820113433,0.0,-0.0017999640007184444,0.002999940001206289,-1.94386,1.2943,-1.7986,1.19758,2.1608238744515944,1.0042,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
0.983333,26,1.3539794658234332,103.69603516605851,-56.34258820113433,0.0,-0.001800072002878589,0.0030001200047932073,-1.94381,1.29427,-1.831,1.21916,2.1997527373775445,1.04054,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.0,27,1.353979651218172,103.69603488930068,-56.34258820113433,0.0,-0.0017999640007184566,0.002999940001206309,-1.94376,1.29424,-1.8634,1.24073,2.2386760580530627,1.07753,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.01667,28,1.353979840230369,103.69603460805001,-56.34258820113433,0.0,-0.002399520095983209,0.002999400119969021,-1.94371,1.2942,-1.89579,1.2623,2.2775910550623437,1.11516,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.03333,29,1.3539800319556596,103.69603432140795,-56.34258820113433,0.0,-0.0018007202881137022,0.0030012004801983887,-1.94366,1.29417,-1.92819,1.28387,2.316514375737824,1.15344,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.05,30,1.3539802272984087,103.6960340302731,-56.34258820113433,0.0,-0.002399520095983209,0.003599280143968153,-1.9436,1.29413,-1.96058,1.30544,2.355429372747143,1.19238,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.06667,31,1.3539804253542513,103.69603373374683,-56.34258820113433,0.0,-0.002399520095983209,0.002999400119969021,-1.94355,1.29409,-1.99298,1.327,2.394347151187563,1.23196,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.08333,32,1.3539806270275525,103.69603343272776,-56.34258820113433,0.0,-0.0024009603841560773,0.004201680672269803,-1.94348,1.29405,-2.02537,1.34857,2.433262148187079,1.27219,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.1,33,1.353980832318312,103.69603312721586,-56.34258820113433,0.0,-0.002399520095969857,0.0035992801439814256,-1.94342,1.29401,-2.05776,1.37014,2.4721771451900447,1.31307,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.11667,34,1.3539810403221648,103.69603281721113,-56.34258820113433,0.0,-0.002999400119982341,0.0041991601679672854,-1.94335,1.29396,-2.09015,1.39171,2.5110921421962993,1.35459,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.13333,35,1.3539812519434757,103.69603250181501,-56.34258820113433,0.0,-0.0024009603841560773,0.004201680672269803,-1.94328,1.29392,-2.12254,1.41327,2.5500015969602843,1.39677,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.15,36,1.353981466277881,103.69603218102752,-56.34258820113433,0.0,-0.002999400119969021,0.004199160167953965,-1.94321,1.29387,-2.15492,1.43484,2.588908270294643,1.43959,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.16667,37,1.3539816842297445,103.6960318557472,-56.34258820113433,0.0,-0.002999400119982301,0.00419916016796723,-1.94314,1.29382,-2.18731,1.4564,2.6278177250524815,1.48307,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.18333,38,1.3539819048947013,103.69603152597406,-56.34258820113433,0.0,-0.0030012004801851008,0.004801920768312155,-1.94306,1.29377,-2.2197,1.47796,2.666727179821738,1.52719,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.2,39,1.3539821300814805,103.69603119080953,-56.34258820113433,0.0,-0.0035992801439814733,0.004799040191966418,-1.94298,1.29371,-2.25208,1.49953,2.7056338531479085,1.57196,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.21667,40,1.3539823570769896,103.69603085115219,-56.34258820113433,0.0,-0.002999400119969021,0.00539892021595223,-1.94289,1.29366,-2.28446,1.52109,2.7445349842368563,1.61738,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.23333,41,1.3539825885943209,103.696030507002,-56.34258820113433,0.0,-0.0036014405762274044,0.005402160864341106,-1.9428,1.2936,-2.31684,1.54265,2.7834361153258036,1.66344,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.25,42,1.3539828219203818,103.69603015746044,-56.34258820113433,0.0,-0.0035992801439814733,0.00539892021596555,-1.94271,1.29354,-2.34922,1.56421,2.8223372464147514,1.71016,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.26667,43,1.3539830597682652,103.69602980342607,-56.34258820113433,0.0,-0.0041991601679672854,0.00539892021595223,-1.94262,1.29347,-2.3816,1.58577,2.861238377503699,1.75752,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.28333,44,1.3539833003292427,103.6960294440003,-56.34258820113433,0.0,-0.0036014405762274044,0.00600240096038345,-1.94252,1.29341,-2.41398,1.60732,2.9001339663539687,1.80553,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.3,45,1.353983544507678,103.69602908008171,-56.34258820113433,0.0,-0.0041991601679672854,0.005998800239951362,-1.94242,1.29334,-2.44635,1.62888,2.9390267737637235,1.85419,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
1.31667,46,1.3539837913992074,103.6960287116703,-56.34258820113433,0.0,-0.0041991601679672854,0.006598680263950494,-1.94231,1.29327,-2.47872,1.65043,2.977914038937323,1.9035,0,0,0,0,0,0,0,0.0,0.0,0,1,1,1
